time,gFx,gFy,gFz,gFTotal
0.002318859100341797,-0.106,-0.327,-0.974,1.033
0.012773990631103516,-0.033,-0.343,-0.929,0.991
0.023352861404418945,0.069,-0.369,-0.922,0.995
0.031648874282836914,0.135,-0.397,-0.94,1.029
0.04226493835449219,0.114,-0.413,-0.938,1.031
0.06440496444702148,0.016,-0.376,-0.802,0.886
0.06709480285644531,0.016,-0.376,-0.802,0.886
0.07333087921142578,-0.013,-0.361,-0.854,0.927
0.0829308032989502,-0.031,-0.355,-0.945,1.01
0.09192276000976562,-0.009,-0.303,-0.88,0.931
0.10177087783813477,0.033,-0.362,-0.86,0.934
0.11311864852905273,0.027,-0.396,-0.88,0.965
0.12451171875,-0.036,-0.351,-0.797,0.872
0.13181281089782715,-0.009,-0.498,-0.809,0.95
0.1424858570098877,0.007,-0.472,-0.841,0.964
0.16585683822631836,-0.224,-0.188,-0.662,0.724
0.16863083839416504,-0.224,-0.188,-0.662,0.724
0.1733698844909668,-0.353,-0.138,-0.332,0.504
0.1826486587524414,-0.434,-0.135,-0.588,0.743
0.19237470626831055,-0.469,-0.119,-0.658,0.817
0.20224666595458984,-0.494,-0.109,-0.636,0.813
0.21396589279174805,-0.442,-0.201,-0.694,0.847
0.2240908145904541,-0.395,-0.279,-0.745,0.888
0.23203468322753906,-0.324,-0.288,-0.758,0.873
0.2424628734588623,-0.284,-0.232,-0.704,0.794
0.2649669647216797,-0.35,-0.021,-0.738,0.817
0.268007755279541,-0.35,-0.021,-0.738,0.817
0.2732839584350586,-0.336,-0.079,-0.914,0.977
0.28310585021972656,-0.306,-0.257,-1.017,1.093
0.2922508716583252,-0.505,-0.168,-0.812,0.971
0.3024888038635254,-0.494,-0.064,-0.725,0.88
0.3130497932434082,-0.296,-0.094,-0.741,0.803
0.32337284088134766,-0.164,-0.052,-0.713,0.733
0.3321237564086914,-0.14,0.017,-0.725,0.739
0.3426699638366699,-0.237,0.023,-0.852,0.885
0.3667459487915039,-0.509,-0.056,-0.984,1.109
0.3695359230041504,-0.509,-0.056,-0.984,1.109
0.37349677085876465,-0.511,-0.119,-0.968,1.101
0.3830118179321289,-0.423,-0.004,-0.813,0.916
0.3923759460449219,-0.345,0.06,-0.802,0.875
0.40253686904907227,-0.445,0.038,-0.878,0.985
0.4132089614868164,-0.648,-0.039,-0.882,1.095
0.4241147041320801,-0.633,-0.079,-0.955,1.148
0.43259382247924805,-0.587,-0.134,-0.899,1.082
0.44263792037963867,-0.68,-0.248,-0.767,1.055
0.46723365783691406,-0.736,-0.284,-0.485,0.926
0.47004079818725586,-0.736,-0.284,-0.485,0.926
0.4747898578643799,-0.831,-0.283,-0.65,1.092
0.4831998348236084,-0.893,-0.26,-0.715,1.173
0.49255800247192383,-0.97,-0.202,-0.843,1.301
0.5021228790283203,-0.979,-0.183,-1.023,1.428
0.5139718055725098,-0.933,-0.243,-1.077,1.445
0.5239288806915283,-0.845,-0.291,-1.108,1.424
0.5324349403381348,-0.731,-0.283,-1.137,1.381
0.5430388450622559,-0.635,-0.299,-1.152,1.349
0.5665647983551025,-0.485,-0.24,-1.216,1.331
0.569678783416748,-0.485,-0.24,-1.216,1.331
0.5733468532562256,-0.488,-0.211,-1.242,1.351
0.5833806991577148,-0.562,-0.21,-1.276,1.41
0.5932397842407227,-0.597,-0.203,-1.277,1.424
0.6028866767883301,-0.688,-0.215,-1.203,1.402
0.6138608455657959,-0.656,-0.201,-1.124,1.317
0.6238408088684082,-0.619,-0.129,-1.12,1.286
0.6329288482666016,-0.629,-0.073,-1.158,1.32
0.6432127952575684,-0.622,-0.053,-1.179,1.334
0.6670098304748535,-0.731,-0.03,-1.197,1.403
0.6698217391967773,-0.731,-0.03,-1.197,1.403
0.6742708683013916,-0.76,-0.005,-1.146,1.375
0.683527946472168,-0.75,0.056,-1.04,1.283
0.6931297779083252,-0.754,0.073,-0.879,1.16
0.7033066749572754,-0.637,0.173,-0.887,1.106
0.7136716842651367,-0.37,0.306,-0.976,1.088
0.7244787216186523,-0.406,0.266,-0.868,0.994
0.7330899238586426,-0.673,0.149,-0.484,0.842
0.7433319091796875,-0.708,0.099,-0.441,0.84
0.7673397064208984,-0.723,0.033,-0.48,0.868
0.7701807022094727,-0.723,0.033,-0.48,0.868
0.7736778259277344,-0.681,-0.008,-0.498,0.844
0.7836899757385254,-0.601,-0.085,-0.455,0.759
0.7933306694030762,-0.574,-0.127,-0.357,0.688
0.802912712097168,-0.587,-0.133,-0.309,0.677
0.813870906829834,-0.649,-0.108,-0.363,0.751
0.825049877166748,-0.701,-0.067,-0.404,0.812
0.8328487873077393,-0.69,-0.04,-0.405,0.801
0.8434767723083496,-0.622,-0.021,-0.333,0.706
0.8675289154052734,-0.632,0.045,-0.089,0.64
0.8709278106689453,-0.632,0.045,-0.089,0.64
0.8746528625488281,-0.806,0.167,-0.118,0.832
0.8838129043579102,-0.951,0.266,-0.274,1.025
0.8931198120117188,-0.858,0.3,-0.284,0.952
0.9030988216400146,-0.6,0.32,-0.198,0.708
0.9140238761901855,-0.321,0.247,-0.025,0.406
0.9242277145385742,-0.202,0.251,0.081,0.332
0.9334039688110352,-0.117,0.351,0.349,0.509
0.9434797763824463,-0.279,0.558,0.558,0.837
0.968317985534668,-2.549,0.593,-0.56,2.676
0.9711489677429199,-2.549,0.593,-0.56,2.676
0.9753918647766113,-2.546,0.497,-1.034,2.793
0.9840807914733887,-2.0,0.525,-0.731,2.193
0.9933567047119141,-1.173,0.547,0.206,1.311
1.0031466484069824,-0.303,0.621,1.397,1.559
1.0143747329711914,-0.344,0.56,1.798,1.914
1.024176836013794,-0.539,0.448,0.914,1.152
1.0332469940185547,-0.432,0.504,0.364,0.757
1.0438590049743652,-0.762,0.699,0.321,1.083
1.0673658847808838,-1.315,0.505,0.592,1.528
1.0707297325134277,-1.315,0.505,0.592,1.528
1.0750048160552979,-0.926,0.453,0.563,1.175
1.0841889381408691,-0.647,0.565,0.436,0.963
1.0936558246612549,-0.949,0.868,-1.37,1.879
1.1045689582824707,-0.637,0.552,-2.297,2.447
1.1148548126220703,-0.025,0.258,0.835,0.874
1.1247897148132324,-0.797,1.121,-0.393,1.43
1.133314847946167,-0.523,0.285,-0.141,0.612
1.1439876556396484,-0.867,0.628,-0.135,1.079
1.1677336692810059,-0.653,0.718,-0.055,0.972
1.1710968017578125,-0.653,0.718,-0.055,0.972
1.1756417751312256,-0.56,0.521,-0.043,0.766
1.1842777729034424,-0.678,0.512,0.069,0.852
1.193786859512329,-0.682,0.553,0.252,0.913
1.2037568092346191,-0.548,0.607,0.304,0.872
1.214446783065796,-0.353,0.551,0.156,0.673
1.2247228622436523,-0.184,0.405,-0.092,0.454
1.2338907718658447,-0.213,0.38,-0.221,0.488
1.2439279556274414,-0.58,0.762,-0.132,0.967
1.2682948112487793,-1.072,1.572,0.363,1.937
1.271103858947754,-1.072,1.572,0.363,1.937
1.275324821472168,-0.984,1.297,0.57,1.725
1.2844629287719727,-0.859,1.061,0.352,1.41
1.2938108444213867,-0.673,1.265,0.033,1.433
1.3040246963500977,-0.328,1.467,-0.151,1.511
1.3145809173583984,-0.082,1.544,-0.147,1.553
1.3251609802246094,-0.033,1.59,0.036,1.591
1.3337149620056152,-0.208,1.865,-0.038,1.877
1.34407377243042,-0.436,1.589,-0.335,1.681
1.368696689605713,-0.591,0.187,0.268,0.675
1.3718278408050537,-0.591,0.187,0.268,0.675
1.3755006790161133,-0.658,0.839,0.431,1.15
1.3849358558654785,-0.513,0.82,0.165,0.981
1.3939108848571777,-0.388,0.76,0.21,0.879
1.4040448665618896,-0.363,0.896,0.223,0.992
1.4151008129119873,-0.562,0.723,0.292,0.961
1.4248766899108887,-0.852,0.545,0.302,1.056
1.4338808059692383,-0.268,1.081,0.414,1.188
1.443809986114502,-0.07,1.419,-0.148,1.428
1.4680829048156738,0.056,1.01,0.315,1.059
1.471153736114502,0.056,1.01,0.315,1.059
1.4752507209777832,-0.083,0.501,0.619,0.801
1.4862267971038818,-0.355,0.374,0.417,0.663
1.4946579933166504,-0.45,0.521,0.342,0.769
1.5040807723999023,-0.268,0.738,0.337,0.854
1.5152568817138672,-0.205,0.906,0.149,0.941
1.525000810623169,-0.269,1.025,-0.119,1.066
1.5341486930847168,-0.336,1.078,-0.14,1.138
1.5446197986602783,-0.339,0.96,0.1,1.023
1.5693888664245605,-0.371,0.842,0.732,1.176
1.5723328590393066,-0.371,0.842,0.732,1.176
1.5757226943969727,-0.436,0.604,0.42,0.855
1.5849089622497559,-0.38,0.86,0.08,0.944
1.5942418575286865,-0.213,1.026,0.087,1.051
1.604895830154419,-0.022,1.068,0.097,1.073
1.6157078742980957,-0.114,1.008,0.113,1.021
1.6251318454742432,-0.207,1.076,0.18,1.11
1.6341567039489746,-0.187,1.184,0.167,1.21
1.6450958251953125,-0.143,1.144,0.156,1.163
1.6681137084960938,-0.146,0.98,0.209,1.013
1.6712379455566406,-0.146,0.98,0.209,1.013
1.6753029823303223,-0.159,0.964,0.228,1.003
1.6851778030395508,-0.172,0.974,0.24,1.018
1.6945147514343262,-0.162,0.945,0.257,0.993
1.704634666442871,-0.158,0.916,0.26,0.965
1.7155678272247314,-0.148,0.994,0.259,1.038
1.7259018421173096,-0.139,1.063,0.262,1.104
1.7344107627868652,-0.158,1.001,0.23,1.039
1.7443909645080566,-0.136,0.955,0.234,0.993
1.7660279273986816,-0.163,1.108,0.235,1.144
1.7687058448791504,-0.163,1.108,0.235,1.144
1.7753338813781738,-0.2,1.167,0.205,1.202
1.7856638431549072,-0.19,1.157,0.175,1.185
1.794496774673462,-0.175,1.121,0.191,1.151
1.8045308589935303,-0.18,1.066,0.236,1.107
1.815779685974121,-0.198,0.984,0.274,1.04
1.8254609107971191,-0.208,0.907,0.288,0.974
1.8347718715667725,-0.213,0.882,0.299,0.955
1.845113754272461,-0.234,0.894,0.257,0.959
1.8676629066467285,-0.182,0.919,0.256,0.971
1.8704807758331299,-0.182,0.919,0.256,0.971
1.8757009506225586,-0.144,0.912,0.304,0.972
1.8854737281799316,-0.209,0.958,0.127,0.989
1.8949298858642578,-0.265,1.011,0.142,1.055
1.904740810394287,-0.229,0.971,0.206,1.019
1.9158706665039062,-0.236,0.895,0.148,0.937
1.9257707595825195,-0.26,0.874,0.163,0.926
1.9346809387207031,-0.281,0.877,0.22,0.947
1.945441722869873,-0.275,0.885,0.214,0.951
1.9700016975402832,-0.266,0.85,0.04,0.892
1.9717378616333008,-0.266,0.85,0.04,0.892
1.9760677814483643,-0.309,0.868,0.102,0.927
1.985663890838623,-0.36,0.759,0.112,0.847
1.995081901550293,-0.415,0.595,0.076,0.729
2.0051627159118652,-0.474,0.648,-0.026,0.803
2.0157289505004883,-0.45,0.804,-0.067,0.924
2.026047706604004,-0.291,0.925,-0.036,0.97
2.035184860229492,-0.237,0.848,-0.013,0.881
2.0451478958129883,-0.311,0.752,0.053,0.815
2.070164680480957,-0.212,0.958,0.053,0.983
2.0732779502868652,-0.212,0.958,0.053,0.983
2.0759317874908447,-0.186,1.094,0.074,1.112
2.08575177192688,-0.212,1.163,0.043,1.183
2.095064878463745,-0.176,1.201,-0.007,1.214
2.105818748474121,-0.214,1.105,-0.031,1.126
2.1161248683929443,-0.368,1.248,0.227,1.321
2.126401901245117,-0.258,1.127,0.187,1.171
2.1350016593933105,-0.165,1.039,0.046,1.053
2.1453866958618164,-0.19,0.996,-0.042,1.015
2.170045852661133,-0.339,0.925,-0.001,0.985
2.172853946685791,-0.339,0.925,-0.001,0.985
2.176231861114502,-0.313,0.949,-0.022,1.0
2.1859097480773926,-0.362,0.898,-0.019,0.968
2.195211887359619,-0.357,0.766,0.026,0.846
2.2055678367614746,-0.266,0.708,-0.079,0.76
2.2162489891052246,-0.157,0.758,-0.108,0.782
2.226066827774048,-0.144,0.784,-0.088,0.802
2.23526668548584,-0.178,0.762,0.005,0.783
2.2454209327697754,-0.234,0.822,0.177,0.873
2.270505905151367,-0.233,0.784,0.181,0.838
2.273380756378174,-0.233,0.784,0.181,0.838
2.276261806488037,-0.249,0.845,0.084,0.885
2.2864317893981934,-0.335,0.86,0.019,0.923
2.2953648567199707,-0.409,0.771,0.07,0.876
2.305792808532715,-0.424,0.68,0.162,0.818
2.3166427612304688,-0.422,0.724,0.206,0.863
2.326389789581299,-0.368,0.772,0.179,0.874
2.33551287651062,-0.273,0.748,0.134,0.807
2.345700740814209,-0.266,0.782,0.209,0.852
2.3696789741516113,-0.564,0.765,0.315,1.001
2.372823715209961,-0.564,0.765,0.315,1.001
2.3759779930114746,-0.579,0.719,0.345,0.986
2.386732816696167,-0.564,0.789,0.274,1.008
2.3954668045043945,-0.543,0.842,0.142,1.012
2.4058446884155273,-0.501,0.914,0.095,1.047
2.4166579246520996,-0.517,0.971,0.156,1.111
2.427393913269043,-0.574,1.025,0.229,1.197
2.4354708194732666,-0.572,1.121,0.263,1.286
2.446215867996216,-0.585,1.176,0.312,1.35
2.4697508811950684,-0.637,1.329,0.261,1.497
2.472883701324463,-0.637,1.329,0.261,1.497
2.476287841796875,-0.639,1.27,0.152,1.43
2.486846923828125,-0.632,1.201,0.103,1.361
2.495654821395874,-0.583,1.239,-0.01,1.369
2.5057928562164307,-0.54,1.274,-0.045,1.384
2.5168309211730957,-0.53,1.344,0.073,1.447
2.526587963104248,-0.508,1.462,0.09,1.55
2.5364036560058594,-0.522,1.542,0.02,1.628
2.546031951904297,-0.51,1.599,-0.029,1.679
2.5711569786071777,-0.397,1.53,-0.145,1.587
2.5740089416503906,-0.397,1.53,-0.145,1.587
2.5772719383239746,-0.247,1.49,-0.235,1.529
2.5866918563842773,-0.164,1.538,-0.304,1.576
2.595947742462158,-0.153,1.334,-0.39,1.398
2.606822967529297,0.063,1.601,-0.411,1.654
2.6170339584350586,-0.084,1.905,-0.006,1.907
2.6273908615112305,-0.178,1.66,0.108,1.673
2.636969804763794,0.0,1.513,-0.035,1.513
2.645840883255005,0.0,1.393,-0.025,1.393
2.670207977294922,0.076,1.311,-0.28,1.343
2.673036813735962,0.076,1.311,-0.28,1.343
2.676637649536133,0.1,1.252,-0.312,1.294
2.687394857406616,0.094,1.169,-0.2,1.19
2.6959798336029053,0.101,1.14,-0.036,1.145
2.706333875656128,0.13,1.17,-0.029,1.178
2.717118740081787,0.178,1.13,0.028,1.144
2.7268807888031006,0.203,1.108,0.172,1.139
2.736025810241699,0.235,1.05,0.181,1.091
2.7459707260131836,0.141,0.834,0.053,0.847
2.770885944366455,0.144,0.645,-0.131,0.674
2.773592948913574,0.144,0.645,-0.131,0.674
2.7768259048461914,0.135,0.539,-0.176,0.583
2.7870969772338867,0.113,0.503,-0.115,0.528
2.7961528301239014,0.055,0.556,-0.092,0.566
2.807102680206299,-0.021,0.693,-0.082,0.698
2.8173227310180664,-0.103,0.667,-0.178,0.698
2.8276467323303223,-0.072,0.652,-0.103,0.664
2.8361408710479736,0.018,0.713,0.124,0.724
2.8465089797973633,-0.018,0.729,0.108,0.737
2.870424747467041,-0.248,0.688,0.247,0.772
2.873363971710205,-0.248,0.688,0.247,0.772
2.8765997886657715,-0.33,0.755,0.414,0.922
2.8870768547058105,-0.438,1.042,0.551,1.257
2.8965506553649902,-0.344,1.297,0.586,1.464
2.906169891357422,-0.375,1.052,0.318,1.161
2.9170517921447754,-0.393,0.804,0.04,0.896
2.927445888519287,-0.188,0.575,-0.043,0.606
2.9363369941711426,-0.072,0.454,0.035,0.461
2.9469308853149414,-0.09,0.454,0.089,0.471
2.9703617095947266,-0.178,0.537,0.357,0.669
2.973317861557007,-0.178,0.537,0.357,0.669
2.976426839828491,-0.243,0.566,0.418,0.744
2.9872679710388184,-0.266,0.567,0.498,0.8
2.9967479705810547,-0.301,0.569,0.502,0.816
3.006777763366699,-0.333,0.52,0.5,0.795
3.0173537731170654,-0.334,0.515,0.527,0.809
3.0276567935943604,-0.333,0.564,0.547,0.853
3.0365028381347656,-0.312,0.624,0.498,0.857
3.0468177795410156,-0.267,0.654,0.442,0.833
3.071631908416748,-0.193,0.72,0.543,0.922
3.074394702911377,-0.193,0.72,0.543,0.922
3.0776257514953613,-0.177,0.775,0.628,1.013
3.0874078273773193,-0.169,0.824,0.692,1.089
3.0966498851776123,-0.129,0.854,0.715,1.121
3.10781192779541,-0.013,0.858,0.683,1.097
3.1174638271331787,0.167,0.895,0.662,1.126
3.1279537677764893,0.327,0.978,0.677,1.234
3.1366257667541504,0.258,1.059,0.614,1.251
3.1469547748565674,0.052,1.183,0.248,1.21
3.171895980834961,-0.292,1.794,0.221,1.831
3.174564838409424,-0.292,1.794,0.221,1.831
3.1776888370513916,-0.545,2.05,0.244,2.135
3.1889188289642334,-0.725,2.11,0.144,2.236
3.1968836784362793,-0.661,1.737,-0.07,1.86
3.2075347900390625,-0.509,1.273,-0.128,1.377
3.2177209854125977,-0.32,1.012,-0.025,1.062
3.2287797927856445,-0.261,0.895,0.032,0.933
3.237201690673828,-0.278,0.816,-0.014,0.862
3.247076988220215,-0.346,0.759,-0.042,0.835
3.271901845932007,-0.401,0.739,-0.042,0.842
3.274949789047241,-0.401,0.739,-0.042,0.842
3.278028964996338,-0.344,0.783,-0.04,0.856
3.287667751312256,-0.274,0.849,-0.048,0.893
3.296902656555176,-0.227,0.889,-0.04,0.918
3.307544708251953,-0.176,0.908,-0.027,0.925
3.3178398609161377,-0.123,0.944,0.001,0.952
3.3286819458007812,-0.076,0.996,0.075,1.002
3.3368849754333496,-0.01,0.993,0.205,1.014
3.3473148345947266,0.083,0.975,0.282,1.018
3.3588919639587402,0.148,0.929,0.289,0.984
3.3788628578186035,0.152,0.764,0.285,0.829
3.379915714263916,0.152,0.764,0.285,0.829
3.3879058361053467,0.145,0.688,0.268,0.752
3.3971188068389893,0.122,0.621,0.144,0.649
3.4076309204101562,0.087,0.565,-0.007,0.572
3.418088912963867,0.039,0.553,-0.11,0.565
3.4282917976379395,-0.029,0.557,-0.172,0.584
3.4371237754821777,-0.127,0.556,-0.21,0.608
3.4473319053649902,-0.229,0.556,-0.175,0.626
3.4725747108459473,-0.327,0.585,0.071,0.674
3.4752869606018066,-0.327,0.585,0.071,0.674
3.478196859359741,-0.34,0.594,0.112,0.694
3.4880709648132324,-0.344,0.61,0.11,0.709
3.4972188472747803,-0.357,0.638,0.066,0.734
3.5077438354492188,-0.38,0.691,0.001,0.789
3.5185327529907227,-0.408,0.765,0.053,0.869
3.528510808944702,-0.425,0.829,0.246,0.964
3.53763484954834,-0.435,0.89,0.342,1.048
3.548064708709717,-0.43,0.953,0.306,1.089
3.573370933532715,-0.501,1.019,0.325,1.181
3.5766568183898926,-0.501,1.019,0.325,1.181
3.580537796020508,-0.549,1.018,0.293,1.193
3.5882668495178223,-0.579,1.025,0.223,1.198
3.5973849296569824,-0.599,1.053,0.134,1.219
3.608158826828003,-0.622,1.107,0.093,1.273
3.618640899658203,-0.632,1.199,0.094,1.359
3.6286540031433105,-0.6,1.322,0.108,1.456
3.6378908157348633,-0.556,1.456,0.124,1.563
3.6481587886810303,-0.532,1.576,0.14,1.669
3.6732378005981445,-0.469,1.793,0.082,1.855
3.6759397983551025,-0.469,1.793,0.082,1.855
3.679107666015625,-0.423,1.874,0.009,1.921
3.6885056495666504,-0.383,1.876,-0.086,1.917
3.6976046562194824,-0.358,1.792,-0.182,1.836
3.7081258296966553,-0.325,1.637,-0.192,1.68
3.718569755554199,-0.25,1.48,-0.144,1.508
3.728994846343994,-0.137,1.341,-0.073,1.35
3.7378318309783936,-0.033,1.215,-0.002,1.215
3.747567653656006,0.062,1.117,0.067,1.121
3.7735788822174072,0.203,1.028,0.253,1.078
3.7762837409973145,0.203,1.028,0.253,1.078
3.779528856277466,0.258,1.069,0.305,1.141
3.7887496948242188,0.269,1.106,0.288,1.174
3.7977466583251953,0.186,1.125,0.189,1.156
3.8082146644592285,0.04,1.093,0.11,1.099
3.818939685821533,-0.09,1.012,0.102,1.021
3.8295748233795166,-0.18,0.941,0.129,0.967
3.837937831878662,-0.241,0.908,0.127,0.948
3.8477487564086914,-0.245,0.881,0.057,0.916
3.8718957901000977,-0.283,0.875,0.01,0.92
3.8745689392089844,-0.283,0.875,0.01,0.92
3.8787636756896973,-0.271,0.891,-0.006,0.931
3.888542652130127,-0.273,0.946,-0.03,0.985
3.8980298042297363,-0.402,1.015,-0.007,1.092
3.9080288410186768,-0.36,1.013,0.133,1.083
3.9188919067382812,-0.25,0.867,0.207,0.926
3.9313149452209473,-0.249,0.723,0.253,0.805
3.9379868507385254,-0.218,0.631,0.214,0.701
3.9480719566345215,-0.162,0.576,0.209,0.634
3.971475839614868,-0.187,0.605,0.216,0.669
3.974390983581543,-0.187,0.605,0.216,0.669
3.9788877964019775,-0.175,0.601,0.231,0.667
3.9887278079986572,-0.153,0.649,0.239,0.708
3.9983458518981934,-0.191,0.743,0.202,0.793
4.008443832397461,-0.17,0.763,0.173,0.801
4.019002914428711,-0.134,0.72,0.18,0.754
4.029319763183594,-0.124,0.694,0.175,0.726
4.038303852081299,-0.133,0.656,0.175,0.692
4.048862934112549,-0.131,0.548,0.196,0.597
4.072001934051514,-0.084,0.306,0.49,0.584
4.075218677520752,-0.084,0.306,0.49,0.584
4.079052925109863,-0.108,0.375,0.652,0.76
4.089362859725952,-0.16,0.474,0.717,0.874
4.098440885543823,-0.194,0.58,0.696,0.927
4.108698844909668,-0.221,0.616,0.636,0.913
4.119124889373779,-0.231,0.612,0.582,0.876
4.129344940185547,-0.227,0.62,0.554,0.862
4.138113975524902,-0.238,0.649,0.556,0.887
4.148571968078613,-0.249,0.686,0.578,0.931
4.173287868499756,-0.26,0.74,0.645,1.015
4.175968885421753,-0.26,0.74,0.645,1.015
4.179195880889893,-0.182,0.757,0.682,1.035
4.189175844192505,-0.023,0.82,0.687,1.07
4.198257923126221,0.093,0.965,0.703,1.198
4.2088987827301025,0.06,1.134,0.578,1.274
4.219350814819336,-0.055,1.263,0.229,1.285
4.229418754577637,-0.206,1.37,0.145,1.393
4.238382816314697,-0.343,1.515,0.344,1.591
4.248452663421631,-0.623,1.757,0.487,1.927
4.272447824478149,-0.78,1.868,0.3,2.046
4.275120735168457,-0.78,1.868,0.3,2.046
4.279305934906006,-0.475,1.477,0.211,1.566
4.289445877075195,-0.216,1.082,0.186,1.119
4.2986907958984375,-0.159,0.819,0.107,0.841
4.308656692504883,-0.2,0.67,0.081,0.704
4.319457769393921,-0.24,0.61,0.097,0.663
4.330050945281982,-0.255,0.595,0.077,0.652
4.3383469581604,-0.264,0.596,0.006,0.652
4.349162817001343,-0.262,0.638,-0.118,0.7
4.372823715209961,-0.338,1.004,-0.213,1.081
4.375494956970215,-0.338,1.004,-0.213,1.081
4.378724813461304,-0.391,1.164,-0.225,1.248
4.389512777328491,-0.35,1.244,-0.149,1.301
4.3986029624938965,-0.246,1.211,-0.042,1.236
4.408900737762451,-0.179,1.085,0.036,1.1
4.419869899749756,-0.138,0.963,0.109,0.979
4.429592847824097,-0.091,0.906,0.182,0.929
4.438624858856201,-0.011,0.894,0.237,0.925
4.449803829193115,0.051,0.895,0.274,0.937
4.472115993499756,0.122,0.858,0.213,0.892
4.474784851074219,0.122,0.858,0.213,0.892
4.47949481010437,0.096,0.814,0.127,0.829
4.489742755889893,0.051,0.78,0.062,0.784
4.498999834060669,0.015,0.751,0.021,0.751
4.509056806564331,-0.02,0.733,-0.01,0.733
4.519997835159302,-0.067,0.702,-0.041,0.706
4.529740810394287,-0.097,0.666,-0.039,0.674
4.539150714874268,-0.114,0.648,-0.009,0.658
4.549347877502441,-0.144,0.627,-0.037,0.644
4.57395076751709,-0.215,0.593,-0.048,0.633
4.576573848724365,-0.215,0.593,-0.048,0.633
4.579988956451416,-0.251,0.594,-0.009,0.645
4.590014934539795,-0.287,0.606,-0.045,0.672
4.5991737842559814,-0.319,0.64,-0.071,0.719
4.609643936157227,-0.349,0.68,-0.071,0.768
4.620009899139404,-0.365,0.723,-0.06,0.812
4.630314826965332,-0.374,0.771,0.002,0.857
4.639081954956055,-0.397,0.831,0.137,0.931
4.649577856063843,-0.415,0.903,0.256,1.026
4.67526388168335,-0.491,1.05,0.352,1.211
4.678342819213867,-0.491,1.05,0.352,1.211
4.682164669036865,-0.531,1.092,0.331,1.259
4.689980983734131,-0.56,1.071,0.275,1.239
4.699253797531128,-0.58,1.017,0.236,1.194
4.709611892700195,-0.572,0.977,0.194,1.149
4.720144748687744,-0.543,0.97,0.156,1.123
4.730495929718018,-0.516,1.0,0.128,1.133
4.739217758178711,-0.48,1.092,0.119,1.199
4.74981689453125,-0.416,1.217,0.146,1.294
4.773943901062012,-0.327,1.459,0.244,1.515
4.7766337394714355,-0.327,1.459,0.244,1.515
4.78001070022583,-0.335,1.557,0.268,1.615
4.790170669555664,-0.359,1.684,0.201,1.734
4.799250841140747,-0.354,1.783,0.09,1.82
4.809755802154541,-0.373,1.806,-0.04,1.845
4.820590972900391,-0.416,1.754,-0.085,1.805
4.831127882003784,-0.43,1.61,-0.087,1.669
4.839724779129028,-0.392,1.419,-0.123,1.477
4.849676847457886,-0.303,1.237,-0.108,1.278
4.874495983123779,-0.109,1.033,-0.004,1.039
4.877298831939697,-0.109,1.033,-0.004,1.039
4.880314826965332,-0.03,0.987,0.029,0.988
4.890269756317139,0.041,0.969,0.074,0.973
4.8995208740234375,0.135,0.949,0.157,0.971
4.909926891326904,0.218,1.002,0.228,1.05
4.921499729156494,0.216,1.125,0.254,1.173
4.931030750274658,0.129,1.256,0.229,1.283
4.93990683555603,-0.009,1.322,0.184,1.335
4.949809789657593,-0.146,1.291,0.159,1.309
4.975757837295532,-0.254,1.099,0.157,1.139
4.978355884552002,-0.254,1.099,0.157,1.139
4.981886863708496,-0.264,1.009,0.16,1.055
4.990498781204224,-0.253,0.951,0.132,0.993
4.999642848968506,-0.3,0.918,0.045,0.967
5.009800910949707,-0.333,0.902,-0.047,0.963
5.020830869674683,-0.314,0.87,-0.112,0.932
5.031141757965088,-0.295,0.837,-0.132,0.897
5.039745807647705,-0.317,0.833,-0.118,0.899
5.050702810287476,-0.337,0.852,-0.048,0.917
5.074249744415283,-0.275,0.826,0.216,0.897
